Date,Holiday,Economic_Indicator,Average_Ticket_Price,Passenger_Count,Year,Month,Day_of_Month,Day_of_Week_Num,Is_Weekend,Holiday_Impact,Route_DFW-JFK,Route_LAX-ORD,Route_NYC-LAX,Route_SEA-DEN,Season_Spring,Season_Summer,Season_Winter,Weather_Conditions_Rainy,Weather_Conditions_Snowy,Weather_Conditions_Stormy,Weather_Conditions_Unknown,Price_Holiday_Interaction,Price_Season_Interaction,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Origin_DFW_True,Origin_LAX_True,Origin_NYC_True,Origin_SEA_True,Destination_JFK_True,Destination_LAX_True,Destination_MIA_True,Destination_ORD_True,Price_Month_Interaction
2023-01-01,0.0,1.592132005401763,183.9460837292422,152,2023,1,1,6,1,0.0,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,183.9460837292422
2023-01-02,0.0,1.3724533153254823,144.73891971815817,139,2023,1,2,0,0,0.0,True,False,False,False,True,False,False,False,True,False,False,0.0,0.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,144.73891971815817
2023-01-03,1.0,1.496260706100272,165.2867901055658,180,2023,1,3,1,0,180.0,False,False,False,False,False,False,False,True,False,False,False,165.2867901055658,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,165.2867901055658
2023-01-04,0.0,1.411247275540538,149.6772056048825,153,2023,1,4,2,0,0.0,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,149.6772056048825
2023-01-05,0.0,1.6375035895511445,194.03096490568808,131,2023,1,5,3,0,0.0,True,False,False,False,False,False,True,True,False,False,False,0.0,194.03096490568808,False,False,True,False,False,False,True,False,False,False,True,False,False,False,194.03096490568808
2023-01-06,0.0,1.6013148396692505,239.25495156754823,140,2023,1,6,4,0,0.0,False,True,False,False,False,False,True,False,False,True,False,0.0,239.25495156754823,False,False,False,False,False,False,False,True,False,False,False,False,False,True,239.25495156754823
2023-01-07,1.0,1.6353997097134512,182.66205063710672,182,2023,1,7,5,1,182.0,False,False,False,False,False,False,False,False,True,False,False,182.66205063710672,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,182.66205063710672
2023-01-08,1.0,1.095385847337539,290.4462918709048,188,2023,1,8,6,1,188.0,False,False,False,False,False,False,False,False,True,False,False,290.4462918709048,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,290.4462918709048
2023-01-09,0.0,1.8291248426165827,211.43280481385344,180,2023,1,9,0,0,0.0,False,False,False,False,True,False,False,False,True,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,211.43280481385344
2023-01-10,1.0,1.2401884215561032,97.57157109080867,162,2023,1,10,1,0,162.0,True,False,False,False,False,False,True,False,False,True,False,97.57157109080867,97.57157109080867,False,False,False,False,False,False,True,False,False,False,True,False,False,False,97.57157109080867
2023-01-11,0.0,1.4442439814579413,216.6582452973923,165,2023,1,11,2,0,0.0,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,216.6582452973923
2023-01-12,1.0,1.306247873888385,197.4801913227521,181,2023,1,12,3,0,181.0,False,False,False,False,False,False,True,False,True,False,False,197.4801913227521,197.4801913227521,False,False,False,False,False,True,False,False,False,False,False,False,True,False,197.4801913227521
2023-01-13,0.0,1.521404541003336,268.8696995849376,164,2023,1,13,4,0,0.0,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,268.8696995849376
2023-01-14,0.0,1.4666629879479034,199.15137455427592,163,2023,1,14,5,1,0.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,199.15137455427592
2023-01-15,0.0,1.6953579319641543,187.3421412324952,160,2023,1,15,6,1,0.0,False,False,False,True,True,False,False,False,False,True,False,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,187.3421412324952
2023-01-16,0.0,1.513164911103283,303.64707486629595,141,2023,1,16,0,0,0.0,False,True,False,False,True,False,False,False,False,False,False,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,303.64707486629595
2023-01-17,0.0,1.3824944465518012,94.71476684564996,143,2023,1,17,1,0,0.0,False,False,False,True,False,False,True,False,False,False,False,0.0,94.71476684564996,False,False,False,True,False,False,False,False,False,True,False,False,False,False,94.71476684564996
2023-01-18,0.0,1.496260706100272,182.78655580010303,156,2023,1,18,2,0,0.0,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,182.78655580010303
